Travel
Nosotros ___ a España cada verano.,viajamos,viajo,viajan,viajas
Yo ___ un boleto de avión para mi viaje.,compro,compra,compramos,compras
Un ___ es un documento necesario para viajar a otro país.,pasaporte,hotel,maleta,vuelo
Ellos ___ en un hotel cerca de la playa.,se quedan,me quedo,te quedas,nos quedamos
Un viaje en avión se llama un ___.,vuelo,tren,barco,hotel
"Cuando viajo a otro país, necesito cambiar mi dinero en una ___",casa de cambio,puerta de embarque,oficina de turismo,aduana
"En el aeropuerto, dejamos las maletas en el ___.",mostrador de facturación,puerta de embarque,aduana,asiento
"Si no tienes coche, puedes tomar un ___ para ir al hotel.",taxi,vuelo,pasaporte,visado
Tú ___ una maleta grande para el viaje.,llevas,llevo,lleva,llevan
"Mi familia ___ un coche y ___ por la ciudad.",alquila / conduce,alquilo / conduzco,alquilan / conducen,alquilas / conduces
